customerId,cohort_month,first_order_date,last_order_date,total_orders,total_revenue,avg_order_value,first_order_channel,first_order_amount,last_order_channel,recency_score,frequency_score,monetary_score,rfm_score,rfm_segment,value_tier,behaviour_state,channel_group
62524109.3161787418,1,2021-01-03 03:53:45.145383 UTC,2021-01-03 03:53:45.145383 UTC,1,2.8e-05,2.8e-05,(data deleted),2.8e-05,(data deleted),4,4,4,444,Champions,Bronze,New,Unattributed (Consent Loss)
7316230097.2070552331,11,2020-11-09 17:02:03.4048 UTC,2020-11-09 17:02:03.4048 UTC,1,2.8e-05,2.8e-05,(data deleted),2.8e-05,(data deleted),4,4,4,444,Champions,Bronze,At Risk,Unattributed (Consent Loss)
9472467.1656937415,1,2021-01-08 00:05:46.520052 UTC,2021-01-08 00:05:46.520052 UTC,1,2.8e-05,2.8e-05,(data deleted),2.8e-05,(data deleted),4,4,4,444,Champions,Bronze,New,Unattributed (Consent Loss)
7757973.7783845224,11,2020-11-03 23:07:54.038296 UTC,2020-11-03 23:07:54.038296 UTC,1,2.8e-05,2.8e-05,(data deleted),2.8e-05,(data deleted),4,4,4,444,Champions,Bronze,At Risk,Unattributed (Consent Loss)
24039713.3893436235,11,2020-11-30 12:23:25.501408 UTC,2020-11-30 12:23:25.501408 UTC,1,2.8e-05,2.8e-05,(data deleted),2.8e-05,(data deleted),4,4,4,444,Champions,Bronze,At Risk,Unattributed (Consent Loss)
60280907.5030142759,12,2020-12-14 17:30:25.440366 UTC,2020-12-14 17:30:25.440366 UTC,1,2.8e-05,2.8e-05,shop.googlemerchandisestore.com,2.8e-05,shop.googlemerchandisestore.com,4,4,4,444,Champions,Bronze,At Risk,Internal / Self Referral
7913379764.4006544425,11,2020-11-13 09:15:19.480343 UTC,2020-11-13 09:15:19.480343 UTC,1,2.8e-05,2.8e-05,shop.googlemerchandisestore.com,2.8e-05,shop.googlemerchandisestore.com,4,4,4,444,Champions,Bronze,At Risk,Internal / Self Referral
25974912.9608293940,1,2021-01-22 15:01:12.296582 UTC,2021-01-22 15:01:12.296582 UTC,1,2.8e-05,2.8e-05,<Other>,2.8e-05,<Other>,4,4,4,444,Champions,Bronze,New,Other / Unknown
18328443.2080319353,12,2020-12-03 20:04:12.499773 UTC,2020-12-03 20:04:12.499773 UTC,1,2.8e-05,2.8e-05,<Other>,2.8e-05,<Other>,4,4,4,444,Champions,Bronze,At Risk,Other / Unknown
4661274.4897769266,1,2021-01-30 21:38:13.988852 UTC,2021-01-30 21:38:13.988852 UTC,1,2.8e-05,2.8e-05,<Other>,2.8e-05,<Other>,4,4,4,444,Champions,Bronze,New,Other / Unknown
25633552.7333010872,11,2020-11-17 18:36:56.645885 UTC,2020-11-17 18:36:56.645885 UTC,1,2.8e-05,2.8e-05,<Other>,2.8e-05,<Other>,4,4,4,444,Champions,Bronze,At Risk,Other / Unknown
3337025.1445600731,11,2020-11-12 22:12:58.887331 UTC,2020-11-12 22:12:58.887331 UTC,1,2.8e-05,2.8e-05,shop.googlemerchandisestore.com,2.8e-05,shop.googlemerchandisestore.com,4,4,4,444,Champions,Bronze,At Risk,Internal / Self Referral
