customerId,first_order_date,last_order_date,total_orders,total_revenue,first_order_channel,first_order_amount,last_order_channel
4939164.6753897903,2020-12-04 03:34:09.462849 UTC,2020-12-04 03:34:09.462849 UTC,1,5.5e-05,google,5.5e-05,google
51071588.2298808294,2020-12-10 23:13:26.554284 UTC,2020-12-10 23:13:26.554284 UTC,1,4.3e-05,shop.googlemerchandisestore.com,4.3e-05,shop.googlemerchandisestore.com
51954044.7234105463,2021-01-02 01:16:01.453311 UTC,2021-01-02 01:16:01.453311 UTC,1,1.1e-05,google,1.1e-05,google
56556427.1030557935,2020-12-07 23:16:18.722268 UTC,2020-12-07 23:16:18.722268 UTC,1,4.6e-05,<Other>,4.6e-05,<Other>
57342716.1787863925,2020-12-10 05:23:00.801983 UTC,2020-12-10 05:23:00.801983 UTC,1,2.4e-05,<Other>,2.4e-05,<Other>
60389702.2086129909,2020-12-26 19:53:55.082394 UTC,2020-12-26 19:53:55.082394 UTC,1,2.4e-05,google,2.4e-05,google
6258055.5394754419,2020-12-18 01:53:21.670433 UTC,2020-12-18 01:53:21.670433 UTC,1,7.3e-05,(direct),7.3e-05,(direct)
68350783.9251558329,2020-12-12 10:11:21.722683 UTC,2020-12-12 10:11:21.722683 UTC,1,0.000112,<Other>,0.000112,<Other>
72935275.0852612888,2021-01-25 10:30:58.046783 UTC,2021-01-25 10:30:58.046783 UTC,1,5.1e-05,(direct),5.1e-05,(direct)
78626176.1558518743,2020-12-11 22:56:25.062791 UTC,2020-12-11 22:56:25.062791 UTC,1,5.2e-05,google,5.2e-05,google
80123648.0068941500,2020-11-25 23:15:37.438218 UTC,2020-11-25 23:15:37.438218 UTC,1,0.000188,(direct),0.000188,(direct)
80816097.5485623131,2020-11-26 13:49:02.26402 UTC,2020-11-26 13:49:02.26402 UTC,1,6.1e-05,<Other>,6.1e-05,<Other>
81324083.4482184297,2020-11-03 18:25:25.274419 UTC,2020-11-03 18:25:25.274419 UTC,1,0.00012,google,0.00012,google
8376952.2180638236,2021-01-20 17:16:46.317059 UTC,2021-01-20 17:16:46.317059 UTC,1,0.000166,shop.googlemerchandisestore.com,0.000166,shop.googlemerchandisestore.com
8403882324.8733646119,2020-12-17 12:12:41.752846 UTC,2020-12-17 12:12:41.752846 UTC,1,6e-05,<Other>,6e-05,<Other>
8894775.5253595050,2021-01-03 13:47:22.541475 UTC,2021-01-03 13:47:22.541475 UTC,1,4.1e-05,(direct),4.1e-05,(direct)
91950347.7626682265,2020-11-15 22:14:13.825016 UTC,2020-11-15 22:14:13.825016 UTC,1,4.4e-05,(data deleted),4.4e-05,(data deleted)
9220684.1553390889,2021-01-05 14:51:59.229786 UTC,2021-01-05 14:51:59.229786 UTC,1,2.1e-05,<Other>,2.1e-05,<Other>
1063363.8922941272,2021-01-12 00:27:19.276277 UTC,2021-01-12 00:27:19.276277 UTC,1,0.000208,(data deleted),0.000208,(data deleted)
13492985.1319836896,2020-11-28 07:57:24.159579 UTC,2020-11-28 07:57:24.159579 UTC,1,3e-05,(data deleted),3e-05,(data deleted)
1827796.6933009711,2021-01-13 00:51:42.889122 UTC,2021-01-13 00:51:42.889122 UTC,1,5.5e-05,<Other>,5.5e-05,<Other>
2042006.9621869558,2020-12-01 19:16:42.018018 UTC,2020-12-01 19:16:42.018018 UTC,1,1.6e-05,google,1.6e-05,google
2304744.2118775235,2020-12-23 10:26:59.689652 UTC,2020-12-23 10:26:59.689652 UTC,1,3.9e-05,<Other>,3.9e-05,<Other>
2459937.2318206302,2021-01-05 13:25:06.749632 UTC,2021-01-05 13:25:06.749632 UTC,1,6.3e-05,google,6.3e-05,google
26952918.6605768312,2020-11-12 21:37:39.361997 UTC,2020-11-12 21:37:39.361997 UTC,1,2.5e-05,shop.googlemerchandisestore.com,2.5e-05,shop.googlemerchandisestore.com
3327202.0943712796,2020-11-23 22:38:52.795158 UTC,2020-11-30 16:46:59.548098 UTC,5,0.00037799999999999997,shop.googlemerchandisestore.com,8.9e-05,<Other>
3361034.4507376856,2021-01-21 14:04:52.98211 UTC,2021-01-21 14:04:52.98211 UTC,1,1.2e-05,google,1.2e-05,google
3559702.8102516207,2020-12-16 17:30:44.107465 UTC,2020-12-16 17:30:44.107465 UTC,1,8.5e-05,(direct),8.5e-05,(direct)
36423903.0766482765,2020-12-23 03:20:54.158911 UTC,2020-12-23 03:20:54.158911 UTC,1,4.4e-05,(direct),4.4e-05,(direct)
38735433.5774488720,2020-11-12 08:20:18.475742 UTC,2020-11-12 08:20:18.475742 UTC,1,4.9e-05,(direct),4.9e-05,(direct)
